llm_action,llm_product,llm_quantity
remove,carrots,4
remove,bags,4
,,0
,,0
remove,soap,2
add,eggs,6
remove,tea,3
add,bulbs,4
add,wrap,16
,,0
,,0
remove,cucumbers,18
add,cereal,2
add,towels,14
add,packs of foil,12
remove,batteries,3
,,0
remove,vegetables,11
remove,towels,9
,,0
remove,mango,7
,,0
add,broccoli,9
,,0
remove,packs of bread,2
add,rice,19
remove,spinach,10
,,0
add,coffee,14
add,wipes,8
add,lemons,4
remove,packs of sugar,9
,,0
add,wrap,13
,,0
add,oatmeal,15
remove,milk,9
,,0
remove,cucumbers,19
add,shampoo,3
remove,coffee,18
remove,toothpaste,12
add,juice,4
,,0
,,0
add,milk,20
add,potatoes,15
add,juice,18
add,butter,7
,,0
remove,salmon,16
,,0
add,onions,9
remove,eggs,3
,,0
,,0
remove,salmon,2
,,0
add,butter,12
remove,butter,6
remove,spaghetti,2
,,0
,,0
add,gelato,2
add,broccoli,19
remove,spaghetti,16
remove,spaghetti,5
add,bread,18
remove,pasta,16
add,tea,18
,,0
,,0
remove,mozzarella,2
remove,detergent,3
add,oatmeal,4
,,0
remove,sweetpotatoes,15
add,foil,14
remove,bananas,15
remove,spaghetti,2
remove,foil,16
,,0
remove,rice,13
,,0
,,0
remove,lemons,13
remove,juice,12
remove,packs of apples,6
add,tea,1
remove,coffee,9
,,0
add,bulbs,17
remove,packs of garlic,16
add,gelato,3
add,shampoo,18
remove,toothpaste,5
,,0
,,0
,,0
,,0
add,potatoes,17
,,0
remove,towels,15
add,packs of bread,3
,,0
,,0
add,broccoli,20
add,rice,19
remove,gelato,16
remove,foil,6
add,blueberries,3
,,0
add,cola,9
add,oliveoil,16
add,gelato,20
remove,paper,17
,,0
remove,bread,15
remove,potatoes,10
remove,soda,3
remove,wipes,20
remove,pepper,1
add,oatmeal,18
remove,water,20
,,0
add,litter,4
add,eggs,4
add,raspberries,11
,,0
,,0
add,bread,4
add,packs of milk,18
add,tissues,12
add,yogurt,6
remove,bags,18
add,sweetpotatoes,6
remove,broccoli,13
add,onions,20
remove,pineapple,2
remove,packs of tissues,5
remove,gelato,5
,,0
remove,raspberries,9
,,0
remove,apples,5
,,0
add,bellpeppers,18
remove,garlic,13
,,0
remove,wash,3
,,0
remove,wipes,10
remove,eggs,18
,,0
,,0
remove,strawberries,10
remove,kibble,20
add,water,12
,,0
,,0
add,toothpaste,16
,,0
add,onions,13
remove,bulbs,5
add,chicken,1
,,0
,,0
add,eggplant,5
,,0
,,0
remove,bags,10
add,juice,2
remove,conditioner,11
add,cucumbers,17
,,0
remove,conditioner,15
,,0
remove,apples,2
add,oliveoil,8
remove,bulbs,2
remove,gelato,17
add,bread,15
,,0
remove,water,15
remove,blueberries,5
remove,conditioner,7
add,mushrooms,15
,,0
remove,spaghetti,9
remove,pepper,11
remove,salmon,11
,,0
remove,bottle of water,1
remove,detergent,9
add,mango,8
,,0
,,0
,,0
remove,blueberries,1
,,0
add,packs of tissues,11
add,salmon,3
remove,onions,16
remove,sunfloweroil,2
remove,coffee,14
remove,yogurt,18
remove,towels,9
add,conditioner,7
remove,vegetables,7
add,water,1
add,butter,8
add,bread,20
add,oliveoil,15
remove,watermelon,12
remove,bellpeppers,15
add,tissues,4
,,0
remove,lemons,2
,,0
remove,litter,18
,,0
add,packs of wrap,7
add,milk,14
,,0
,,0
remove,pepper,9
,,0
,,0
,,0
remove,yogurt,18
add,foil,3
remove,salmon,7
remove,brownsugar,4
remove,beef,16
,,0
add,coffee,20
,,0
remove,lemonade,8
remove,onions,5
add,bananas,18
,,0
add,treats,5
remove,bananas,4
remove,juice,2
add,toothbrush,5
add,soda,14
add,tea,2
,,0
add,packs of gelato,7
remove,coffee,16
,,0
remove,shampoo,2
remove,milk,13
,,0
,,0
add,pineapple,4
,,0
add,eggs,2
remove,limes,20
remove,apples,16
remove,flour,10
remove,sweetpotatoes,3
,,0
remove,coffee,13
remove,watermelon,17
,,0
remove,diapers,17
,,0
,,0
add,detergent,9
,,0
remove,conditioner,20
add,mango,9
add,shampoo,16
,,0
add,blueberries,3
remove,spaghetti,4
,,0
remove,oranges,10
add,bread,12
remove,beef,19
add,raspberries,7
,,0
add,wipes,19
remove,granola,2
remove,toothpaste,6
remove,shampoo,1
,,0
remove,diapers,17
add,oliveoil,2
remove,oranges,10
remove,packs of wipes,4
add,packs of toothpaste,1
add,towels,20
add,vegetables,6
remove,potatoes,15
add,packs of pizza,13
add,potatoes,4
remove,kibble,10
,,0
remove,packs of chicken,20
add,sunfloweroil,1
add,sugar,18
,,0
remove,oranges,13
remove,tea,19
add,potatoes,13
remove,eggplant,9
remove,pineapple,12
,,0
add,litter,18
remove,onions,8
remove,bread,14
,,0
,,0
,,0
,,0
remove,mushrooms,7
,,0
,,0
remove,packs of tissues,12
remove,blueberries,17
add,carrots,8
,,0
remove,mozzarella,10
remove,tea,7
add,oranges,1
remove,milk,4
add,salmon,4
,,0
,,0
add,packs of batteries,18
,,0
remove,water,11
,,0
add,tuna,2
add,gelato,15
remove,soda,2
remove,soap,1
add,conditioner,20
,,0
,,0
add,oatmeal,7
remove,tomatoes,16
remove,detergent,15
add,pasta,13
,,0
remove,raspberries,6
add,toothbrush,2
,,0
remove,spinach,15
,,0
,,0
remove,carrots,6
remove,cola,18
,,0
remove,packs of gelato,7
add,wash,10
add,bananas,6
add,watermelon,18
,,0
,,0
add,yogurt,20
,,0
,,0
remove,wipes,20
,,0
,,0
add,cola,2
remove,bellpeppers,2
,,0
remove,cheddar,3
remove,tissues,16
remove,vegetables,11
,,0
remove,packs of flour,12
remove,gelato,14
remove,pepper,6
add,tuna,13
remove,milk,14
add,soap,15
,,0
,,0
add,flour,10
,,0
remove,spaghetti,9
,,0
add,mushrooms,11
remove,strawberries,5
,,0
,,0
,,0
remove,bananas,17
,,0
,,0
add,sugar,11
remove,butter,19
add,salmon,14
remove,butter,15
remove,bulbs,9
,,0
remove,soda,14
,,0
add,oliveoil,1
add,bread,10
remove,apples,16
remove,bread,20
remove,yogurt,15
remove,bags,20
remove,rice,20
,,0
remove,water,10
add,paper,3
,,0
,,0
remove,gelato,11
remove,litter,20
add,wash,1
,,0
,,0
remove,bulbs,19
,,0
,,0
remove,granola bars,3
remove,rice,18
,,0
remove,quinoa,9
add,toothpaste,4
,,0
remove,gelato,2
remove,tea,20
add,soda,12
add,cheddar,2
remove,treats,3
remove,shampoo,3
,,0
add,spinach,1
remove,milk,5
,,0
remove,pizza,19
add,milk,10
,,0
,,0
,,0
add,wipes,19
,,0
add,toothpaste,8
remove,shampoo,12
add,juice,19
remove,bulbs,9
add,wrap,9
add,mozzarella,16
,,0
add,packs of pasta,9
remove,butter,10
,,0
add,apples,2
,,0
add,butter,12
remove,paper,3
remove,potatoes,20
add,bellpeppers,20
remove,packs of coffee,15
remove,yogurt,12
remove,wrap,20
,,0
remove,packs of water,9
remove,bread,19
add,eggplant,14
add,toothpaste,3
,,0
add,batteries,1
remove,yogurt,10
add,soap,16
add,packs of avocados,16
add,tuna,16
add,kibble,20
,,0
add,flour,15
,,0
,,0
add,cola,6
add,blueberries,5
remove,limes,9
add,litter,20
remove,rice,17
remove,soap,19
remove,packs of towels,13
,,0
remove,mushrooms,6
add,juice,3
add,sunfloweroil,16
,,0
add,spaghetti,14
add,oatmeal,2
remove,mango,3
remove,soda,10
add,coffee,12
remove,blueberries,8
add,oliveoil,19
,,0
,,0
add,eggs,2
,,0
,,0
add,oatmeal,1
remove,pizza,13
add,milk,13
remove,wipes,8
remove,pizza,3
add,water,5
,,0
,,0
add,mushrooms,20
add,milk,1
add,towels,3
remove,strawberries,7
remove,spinach,6
add,yogurt,20
,,0
remove,apples,20
,,0
,,0
add,spinach,20
add,pasta,14
,,0
remove,soap,11
remove,milk,3
remove,gelato,9
,,0
add,broccoli,19
add,onions,16
remove,sugar,19
remove,juice,8
remove,diapers,17
,,0
add,bellpeppers,1
,,0
remove,cereal,5
,,0
remove,butter,16
,,0
add,potatoes,5
remove,broccoli,14
add,blueberries,7
remove,mushrooms,15
remove,bottle of wine,1
remove,batteries,2
,,0
remove,bulbs,19
remove,soda,6
remove,salmon,16
,,0
add,tea,6
,,0
,,0
remove,oliveoil,20
remove,packs of kibble,12
add,mushrooms,1
,,0
remove,cucumbers,12
add,eggs,19
remove,beef,1
,,0
add,gelato,18
,,0
remove,coffee,2
,,0
remove,bread,13
remove,beef,11
remove,fries,14
remove,foil,19
remove,cheddar,13
add,pepper,20
,,0
remove,bags,18
remove,tuna,15
,,0
add,chicken,13
add,bread,13
,,0
,,0
remove,tissues,7
,,0
,,0
add,foil,14
,,0
add,wrap,15
remove,treats,17
remove,bellpeppers,19
,,0
remove,shampoo,2
add,foil,8
,,0
add,potatoes,10
,,0
remove,toothpaste,8
remove,eggs,14
remove,rice,1
,,0
remove,bread,1
,,0
,,0
remove,sweetpotatoes,11
remove,gelato,14
add,gelato,15
remove,conditioner,18
add,olive oil,1
add,pasta,3
add,lemons,1
remove,onions,1
add,oranges,7
remove,tomatoes,12
,,0
add,avocados,3
remove,vegetables,11
remove,eggs,13
,,0
add,granola,6
remove,rice,15
remove,bananas,10
remove,paper,17
,,0
add,tea,9
add,beef,15
,,0
add,salt,16
,,0
add,bread,1
,,0
remove,eggplant,5
add,coffee,3
add,tomatoes,5
remove,oatmeal,8
remove,soap,1
,,0
add,milk,14
,,0
,,0
,,0
,,0
,,0
remove,pineapple,4
add,zucchini,4
add,litter,20
add,cheddar,2
,,0
remove,apples,16
,,0
,,0
,,0
remove,garlic,9
remove,bulbs,20
,,0
,,0
,,0
add,onions,12
,,0
,,0
remove,cereal,2
,,0
add,packs of diapers,2
,,0
,,0
remove,rice,14
,,0
,,0
add,rice,10
remove,pizza,10
remove,coffee,11
add,milk,5
,,0
remove,vegetables,4
,,0
add,salmon,20
remove,bulbs,15
remove,cucumbers,11
remove,vegetables,10
,,0
,,0
add,sugar,14
add,paper,3
add,batteries,17
add,packs of conditioner,1
,,0
remove,detergent,2
,,0
,,0
,,0
,,0
add,pasta,5
,,0
remove,pizza,1
remove,potatoes,1
remove,lemonade,7
remove,treats,2
remove,bulbs,3
remove,flour,17
add,bananas,15
remove,paper,15
,,0
add,sugar,14
,,0
,,0
remove,pasta,18
remove,spinach,18
add,butter,3
add,spinach,20
remove,broccoli,3
add,packs of conditioner,16
,,0
,,0
,,0
,,0
remove,pepper,5
,,0
,,0
,,0
remove,oranges,14
remove,diapers,20
add,treats,5
remove,milk,19
add,tissues,8
,,0
,,0
,,0
add,tuna,10
add,bellpeppers,15
remove,pizza,9
remove,soda,5
add,pasta,9
remove,flour,8
,,0
remove,paper,11
remove,lemons,13
,,0
remove,eggs,6
,,0
remove,bellpeppers,6
,,0
remove,towels,10
add,coffee,16
add,tuna,19
,,0
remove,packs of beef,3
,,0
add,salmon,14
remove,diapers,17
,,0
remove,mozzarella,12
,,0
,,0
remove,detergent,11
add,oliveoil,15
,,0
add,juice,11
add,vegetables,1
,,0
add,litter,1
add,raspberries,11
,,0
add,soda,2
,,0
,,0
add,beef,5
,,0
,,0
,,0
,,0
remove,bags,1
remove,cereal,20
add,apples,12
,,0
,,0
remove,gelato,16
remove,packs of bread,19
,,0
add,bread,15
add,spaghetti,5
,,0
add,beef,10
remove,cheddar,9
remove,packs of soap,3
remove,butter,19
remove,raspberries,12
add,toothbrush,4
add,foil,11
,,0
,,0
remove,pizza,13
remove,packs of yogurt,5
remove,yogurt,17
,,0
remove,coffee,2
remove,spinach,6
,,0
add,carrots,13
remove,bulbs,11
remove,bananas,11
add,broccoli,6
,,0
,,0
remove,coffee,18
add,shampoo,20
add,butter,15
,,0
,,0
,,0
,,0
,,0
,,0
,,0
remove,detergent,18
remove,cereal,4
add,limes,18
remove,paper,19
add,packs of bread,20
remove,tissues,5
add,kibble,16
add,detergent,9
,,0
,,0
remove,garlic,3
,,0
add,broccoli,4
,,0
,,0
,,0
add,tissues,2
,,0
remove,diapers,13
remove,beef,11
,,0
add,gelato,18
,,0
,,0
remove,tuna,15
,,0
remove,oranges,9
,,0
,,0
add,tea,15
remove,bread,3
remove,bananas,10
,,0
,,0
,,0
remove,gelato,18
add,toothbrush,8
,,0
add,packs of bread,7
remove,soap,12
remove,lemonade,20
,,0
,,0
add,foil,6
add,juice,3
add,watermelon,5
remove,raspberries,9
add,pizza,3
add,sugar,19
,,0
remove,towels,3
,,0
,,0
remove,pepper,4
,,0
remove,packs of pizza,18
,,0
remove,pizza,13
add,detergent,6
add,oliveoil,2
,,0
,,0
remove,diapers,13
,,0
add,bulbs,3
,,0
add,tomatoes,11
,,0
add,toothpaste,17
remove,mushrooms,6
remove,bread,13
remove,shampoo,6
remove,beef,14
,,0
remove,milk,9
add,limes,7
remove,packs of mushrooms,8
add,pepper,2
,,0
remove,apples,19
,,0
add,flour,20
,,0
add,wrap,19
remove,fries,16
,,0
remove,pasta,11
remove,cola,3
add,carrots,6
add,oatmeal,17
remove,coffee,6
,,0
,,0
remove,cola,10
,,0
,,0
,,0
add,oliveoil,9
remove,toothbrush,10
,,0
remove,lemons,18
add,juice,16
,,0
,,0
,,0
,,0
remove,gelato,19
remove,gelato,18
remove,yogurt,5
,,0
,,0
,,0
,,0
remove,apples,20
add,packs of foil,20
remove,garlic,18
,,0
remove,toothpaste,2
,,0
,,0
,,0
remove,towels,10
,,0
remove,coffee,15
,,0
,,0
add,spaghetti,20
remove,mango,17
remove,diapers,18
add,paper,3
add,bananas,13
,,0
add,soap,15
,,0
,,0
remove,avocados,19
,,0
,,0
,,0
,,0
,,0
remove,wrap,5
remove,raspberries,8
add,toothbrush,6
remove,oranges,3
remove,bellpeppers,18
add,yogurt,2
,,0
,,0
add,eggplant,6
add,batteries,19
remove,milk,19
remove,salt,4
remove,vegetables,12
add,eggs,12
remove,mozzarella,3
,,0
,,0
,,0
,,0
remove,sweetpotatoes,12
add,cola,20
,,0
remove,kibble,18
remove,soda,14
,,0
add,soda,6
,,0
remove,wipes,10
remove,fries,12
add,towels,17
,,0
add,carrots,17
,,0
add,coffee,6
,,0
,,0
,,0
remove,onions,6
add,avocados,2
,,0
remove,butter,10
remove,potatoes,1
add,bread,18
add,packs of butter,17
,,0
,,0
add,flour,15
remove,gelato,4
,,0
remove,soda,6
,,0
,,0
remove,bulbs,18
add,rice,5
remove,pizza,15
add,spinach,5
remove,bread,15
add,garlic,9
remove,bags,3
add,tomatoes,14
,,0
remove,zucchini,7
remove,packs of tomatoes,1
,,0
,,0
,,0
remove,packs of bread,16
add,zucchini,1
add,spinach,10
,,0
,,0
add,toothpaste,5
add,wipes,6
remove,bulbs,8
,,0
remove,milk,20
,,0
add,wipes,10
remove,broccoli,3
add,foil,3
add,bulbs,6
,,0
remove,pasta,16
remove,toothbrush,11
add,juice,16
remove,tea,19
,,0
,,0
,,0
remove,shampoo,8
add,shampoo,15
remove,strawberries,11
,,0
remove,litter,1
remove,litter,2
,,0
,,0
add,cola,16
remove,raspberries,13
,,0
remove,eggplant,17
add,oranges,3
remove,eggplant,10
,,0
remove,water,20
remove,bags,3
remove,packs of limes,3
,,0
remove,apples,13
remove,spinach,17
,,0
,,0
remove,diapers,7
,,0
add,diapers,6
remove,cola,5
remove,bellpeppers,14
,,0
,,0
remove,eggplant,17
add,beef,14
,,0
remove,foil,18
remove,detergent,4
,,0
remove,blueberries,14
,,0
add,oranges,15
add,bags,1
,,0
add,yogurt,2
add,conditioner,12
remove,wash,12
add,soda,7
,,0
add,spinach,20
,,0
remove,soda,2
,,0
remove,oranges,17
,,0
remove,juice,4
add,oatmeal,5
,,0
remove,water,7
add,cola,17
remove,carrots,4
remove,butter,6
remove,bags,18
,,0
,,0
add,water,15
remove,oliveoil,12
remove,paper,14
remove,juice,11
,,0
remove,mushrooms,17
,,0
add,mozzarella,8
add,sugar,9
remove,cola,18
,,0
,,0
,,0
,,0
,,0
add,avocados,2
,,0
remove,potatoes,6
,,0
,,0
,,0
remove,blueberries,1
,,0
add,conditioner,6
remove,potatoes,18
add,tuna,20
add,granola,3
add,packs of soap,7
,,0
,,0
add,juice,19
,,0
,,0
remove,onions,8
,,0
,,0
add,onions,6
add,kibble,10
add,onions,2
,,0
remove,potatoes,15
,,0
,,0
,,0
remove,coffee,2
,,0
add,wrap,15
add,flour,14
add,tissues,6
remove,salmon,14
remove,cereal,13
remove,butter,3
add,pasta,17
add,spinach,18
,,0
remove,tissues,19
,,0
,,0
add,tissues,9
remove,tuna,3
,,0
remove,cheddar,15
add,garlic,3
,,0
add,rice,1
add,butter,2
,,0
,,0
remove,pineapple,6
,,0
,,0
,,0
,,0
,,0
,,0
remove,detergent,13
add,broccoli,2
remove,paper,15
remove,rice,13
,,0
,,0
add,tea,8
add,pizza,3
remove,zucchini,11
,,0
,,0
remove,shampoo,14
add,soap,13
add,water,4
,,0
add,bread,2
add,gelato,2
,,0
remove,soap,15
,,0
add,tea,20
remove,onions,16
,,0
add,raspberries,2
,,0
remove,conditioner,2
remove,eggs,1
remove,rice,6
remove,packs of soap,18
,,0
,,0
remove,conditioner,15
add,spinach,5
remove,milk,1
,,0
add,treats,7
add,coffee,8
,,0
add,soda,1
,,0
,,0
add,gelato,5
remove,eggplant,1
,,0
remove,spaghetti,15
remove,toothbrush,14
,,0
,,0
add,packs of tuna,1
,,0
add,cucumbers,11
add,diapers,1
remove,milk,8
add,butter,10
add,packs of watermelon,11
,,0
,,0
,,0
remove,spinach,11
remove,potatoes,15
add,packs of spaghetti,8
,,0
add,carrots,17
add,limes,12
,,0
remove,raspberries,10
add,wash,4
add,blueberries,19
add,cola,20
,,0
,,0
,,0
add,juice,3
add,tuna,8
,,0
add,batteries,5
remove,oliveoil,1
remove,butter,12
,,0
,,0
,,0
,,0
add,gelato,15
add,shampoo,2
remove,brownsugar,15
remove,yogurt,14
,,0
add,tea,15
remove,bananas,20
add,wash,17
,,0
remove,bananas,3
,,0
,,0
,,0
add,coffee,12
add,shampoo,6
remove,tuna,9
remove,potatoes,15
,,0
,,0
add,rice,15
,,0
add,vegetables,20
,,0
add,sugar,9
remove,pineapple,15
remove,bulbs,12
add,soap,14
remove,bags,12
add,wipes,19
add,granola,11
,,0
add,brownsugar,20
,,0
remove,batteries,10
add,cucumbers,7
remove,milk,16
,,0
add,vegetables,1
,,0
,,0
,,0
remove,tissues,18
,,0
add,yogurt,5
remove,eggs,18
,,0
add,spinach,4
add,kibble,10
add,raspberries,8
remove,chicken,18
,,0
remove,oranges,16
,,0
add,apples,8
add,flour,18
,,0
add,pasta,14
add,tuna,20
add,towels,18
,,0
,,0
remove,strawberries,11
,,0
,,0
remove,soap,18
add,mushrooms,15
add,kibble,20
,,0
remove,juice,15
add,toothpaste,2
,,0
add,oatmeal,16
remove,mozzarella,2
add,towels,8
add,butter,17
remove,coffee,9
remove,sugar,18
,,0
,,0
add,milk,8
,,0
,,0
add,juice,5
,,0
,,0
add,batteries,14
,,0
add,bags,13
add,milk,18
,,0
remove,tea,14
add,coffee,17
add,packs of cereal,13
,,0
remove,lemonade,14
,,0
remove,tissues,2
add,tea,2
add,towels,8
add,cucumbers,1
,,0
,,0
add,wash,5
add,gelato,9
,,0
remove,cereal,3
add,granola,11
remove,vegetables,12
remove,watermelon,3
remove,soap,6
,,0
,,0
remove,potatoes,16
add,cola,7
remove,treats,4
,,0
,,0
add,raspberries,12
add,oatmeal,8
,,0
,,0
remove,packs of coffee,7
,,0
remove,beef,14
remove,gelato,4
remove,mushrooms,7
,,0
,,0
add,spinach,2
,,0
add,tissues,3
add,wrap,18
add,soda,11
remove,juice,6
remove,tomatoes,16
remove,packs of eggs,5
remove,water,3
remove,gelato,8
remove,packs of juice,18
add,batteries,5
