raw_response,llm_action,llm_product,llm_quantity
"{""action"":""add"",""product"":""vegetables"",""quantity"":14}",add,vegetables,14
"{""action"":""add"",""product"":""packs of tissues"",""quantity"":11}",add,packs of tissues,11
"{""action"":""add"",""product"":""pizza"",""quantity"":12}",add,pizza,12
"{""action"":""remove"",""product"":""cucumbers"",""quantity"":18}",remove,cucumbers,18
"{""action"":""remove"",""product"":""salmon"",""quantity"":6}",remove,salmon,6
"{""action"":""add"",""product"":""gelato"",""quantity"":3}",add,gelato,3
"{""action"":""remove"",""product"":""batteries"",""quantity"":20}",remove,batteries,20
"{""action"":""remove"",""product"":""flour"",""quantity"":17}",remove,flour,17
"{""action"":""add"",""product"":""wipes"",""quantity"":3}",add,wipes,3
"{""action"":""add"",""product"":""salt"",""quantity"":13}",add,salt,13
"{""action"":""add"",""product"":""towels"",""quantity"":17}",add,towels,17
"{""action"":""add"",""product"":""potatoes"",""quantity"":8}",add,potatoes,8
"{""action"":""remove"",""product"":""pepper"",""quantity"":2}",remove,pepper,2
"{""action"":""remove"",""product"":""treats"",""quantity"":16}",remove,treats,16
"{""action"":""remove"",""product"":""fries"",""quantity"":20}",remove,fries,20
"{""action"":""add"",""product"":""cheddar"",""quantity"":11}",add,cheddar,11
"{""action"":""add"",""product"":""paper"",""quantity"":8}",add,paper,8
"{""action"":""remove"",""product"":""vegetables"",""quantity"":1}",remove,vegetables,1
"{""action"":""add"",""product"":""wipes"",""quantity"":7}",add,wipes,7
"{""action"":""add"",""product"":""milk"",""quantity"":10}",add,milk,10
"{""action"":""remove"",""product"":""eggs"",""quantity"":5}",remove,eggs,5
"{""action"":""remove"",""product"":""milk"",""quantity"":2}",remove,milk,2
"{""action"":""add"",""product"":""tea"",""quantity"":18}",add,tea,18
"{""action"":""add"",""product"":""milk"",""quantity"":15}",add,milk,15
"{""action"":""remove"",""product"":""tea"",""quantity"":7}",remove,tea,7
"{""action"":""remove"",""product"":""pasta"",""quantity"":2}",remove,pasta,2
"{""action"":""remove"",""product"":""flour"",""quantity"":9}",remove,flour,9
"{""action"":""remove"",""product"":""gelato"",""quantity"":10}",remove,gelato,10
"{""action"":""add"",""product"":""bread"",""quantity"":12}",add,bread,12
"{""action"":""add"",""product"":""tea"",""quantity"":7}",add,tea,7
"{""action"":""remove"",""product"":""raspberries"",""quantity"":6}",remove,raspberries,6
"{""action"":""remove"",""product"":""pizza"",""quantity"":20}",remove,pizza,20
"{""action"":""add"",""product"":""oliveoil"",""quantity"":9}",add,oliveoil,9
"{""action"":""remove"",""product"":""foil"",""quantity"":6}",remove,foil,6
"{""action"":""add"",""product"":""spinach"",""quantity"":9}",add,spinach,9
"{""action"":""remove"",""product"":""strawberries"",""quantity"":18}",remove,strawberries,18
"{""action"":""remove"",""product"":""bread"",""quantity"":17}",remove,bread,17
"{""action"":""remove"",""product"":""pasta"",""quantity"":1}",remove,pasta,1
"{""action"":""remove"",""product"":""toothbrush"",""quantity"":15}",remove,toothbrush,15
"{""action"":""remove"",""product"":""gelato"",""quantity"":8}",remove,gelato,8
"{""action"":""add"",""product"":""yogurt"",""quantity"":5}",add,yogurt,5
"{""action"":""add"",""product"":""tuna"",""quantity"":12}",add,tuna,12
"{""action"":""remove"",""product"":""toothbrush"",""quantity"":12}",remove,toothbrush,12
"{""action"":""remove"",""product"":""bread"",""quantity"":9}",remove,bread,9
"{""action"":""add"",""product"":""brownsugar"",""quantity"":16}",add,brownsugar,16
"{""action"":""remove"",""product"":""yogurt"",""quantity"":6}",remove,yogurt,6
"{""action"":""add"",""product"":""oliveoil"",""quantity"":17}",add,oliveoil,17
"{""action"":""add"",""product"":""milk"",""quantity"":1}",add,milk,1
"{""action"":""add"",""product"":""paper"",""quantity"":6}",add,paper,6
"{""action"":""remove"",""product"":""bellpeppers"",""quantity"":2}",remove,bellpeppers,2
"{""action"":""remove"",""product"":""mango"",""quantity"":20}",remove,mango,20
"{""action"":""add"",""product"":""bread"",""quantity"":18}",add,bread,18
"{""action"":""remove"",""product"":""toothbrush"",""quantity"":2}",remove,toothbrush,2
"{""action"":""remove"",""product"":""zucchini"",""quantity"":5}",remove,zucchini,5
"{""action"":""remove"",""product"":""oranges"",""quantity"":3}",remove,oranges,3
"{""action"":""remove"",""product"":""kibble"",""quantity"":14}",remove,kibble,14
"{""action"":""add"",""product"":""diapers"",""quantity"":7}",add,diapers,7
"{""action"":""remove"",""product"":""mushrooms"",""quantity"":13}",remove,mushrooms,13
"{""action"":""add"",""product"":""detergent"",""quantity"":16}",add,detergent,16
"{""action"":""add"",""product"":""lemonade"",""quantity"":13}",add,lemonade,13
"{""action"":""add"",""product"":""mango"",""quantity"":11}",add,mango,11
"{""action"":""remove"",""product"":""juice"",""quantity"":2}",remove,juice,2
"{""action"":""add"",""product"":""potatoes"",""quantity"":15}",add,potatoes,15
"{""action"":""remove"",""product"":""diapers"",""quantity"":1}",remove,diapers,1
"{""action"":""remove"",""product"":""bags"",""quantity"":13}",remove,bags,13
"{""action"":""add"",""product"":""gelato"",""quantity"":20}",add,gelato,20
"{""action"":""remove"",""product"":""juice"",""quantity"":17}",remove,juice,17
"{""action"":""remove"",""product"":""tomatoes"",""quantity"":13}",remove,tomatoes,13
"{""action"":""remove"",""product"":""paper"",""quantity"":18}",remove,paper,18
"{""action"":""remove"",""product"":""bananas"",""quantity"":16}",remove,bananas,16
"{""action"":""remove"",""product"":""gelato"",""quantity"":2}",remove,gelato,2
"{""action"":""add"",""product"":""juice"",""quantity"":5}",add,juice,5
"{""action"":""remove"",""product"":""lemonade"",""quantity"":6}",remove,lemonade,6
"{""action"":""add"",""product"":""tuna"",""quantity"":9}",add,tuna,9
"{""action"":""add"",""product"":""soap"",""quantity"":14}",add,soap,14
"{""action"":""add"",""product"":""diapers"",""quantity"":1}",add,diapers,1
"{""action"":""add"",""product"":""kibble"",""quantity"":15}",add,kibble,15
"{""action"":""add"",""product"":""juice"",""quantity"":8}",add,juice,8
"{""action"":""remove"",""product"":""tea"",""quantity"":2}",remove,tea,2
"{""action"":""add"",""product"":""shampoo"",""quantity"":3}",add,shampoo,3
"{""action"":""add"",""product"":""toothbrush"",""quantity"":12}",add,toothbrush,12
"{""action"":""remove"",""product"":""oliveoil"",""quantity"":8}",remove,oliveoil,8
"{""action"":""remove"",""product"":""juice"",""quantity"":7}",remove,juice,7
"{""action"":""add"",""product"":""paper"",""quantity"":14}",add,paper,14
"{""action"":""remove"",""product"":""bulbs"",""quantity"":3}",remove,bulbs,3
"{""action"":""remove"",""product"":""sugar"",""quantity"":17}",remove,sugar,17
"{""action"":""add"",""product"":""cereal"",""quantity"":20}",add,cereal,20
"{""action"":""add"",""product"":""water"",""quantity"":19}",add,water,19
"{""action"":""add"",""product"":""yogurt"",""quantity"":17}",add,yogurt,17
"{""action"":""remove"",""product"":""shampoo"",""quantity"":2}",remove,shampoo,2
"{""action"":""add"",""product"":""spaghetti"",""quantity"":17}",add,spaghetti,17
"{""action"":""remove"",""product"":""soap"",""quantity"":19}",remove,soap,19
"{""action"":""remove"",""product"":""soda"",""quantity"":11}",remove,soda,11
"{""action"":""remove"",""product"":""towels"",""quantity"":19}",remove,towels,19
"{""action"":""add"",""product"":""17 soap"",""quantity"":17}",add,17 soap,17
"{""action"":""remove"",""product"":""tuna"",""quantity"":3}",remove,tuna,3
"{""action"":""remove"",""product"":""coffee"",""quantity"":12}",remove,coffee,12
"{""action"":""remove"",""product"":""limes"",""quantity"":11}",remove,limes,11
"{""action"":""remove"",""product"":""soap"",""quantity"":4}",remove,soap,4
"{""action"":""remove"",""product"":""mozzarella"",""quantity"":13}",remove,mozzarella,13
"{""action"":""remove"",""product"":""eggplant"",""quantity"":8}",remove,eggplant,8
"{""action"":""add"",""product"":""pineapple"",""quantity"":19}",add,pineapple,19
"{""action"":""add"",""product"":""lemonade"",""quantity"":9}",add,lemonade,9
"{""action"":""add"",""product"":""strawberries"",""quantity"":13}",add,strawberries,13
"{""action"":""remove"",""product"":""shampoo"",""quantity"":16}",remove,shampoo,16
"{""action"":""remove"",""product"":""oliveoil"",""quantity"":13}",remove,oliveoil,13
"{""action"":""add"",""product"":""chicken"",""quantity"":13}",add,chicken,13
"{""action"":""remove"",""product"":""avocados"",""quantity"":1}",remove,avocados,1
"{""action"":""add"",""product"":""soda"",""quantity"":20}",add,soda,20
"{""action"":""remove"",""product"":""yogurt"",""quantity"":10}",remove,yogurt,10
"{""action"":""remove"",""product"":""wrap"",""quantity"":2}",remove,wrap,2
"{""action"":""remove"",""product"":""bulbs"",""quantity"":7}",remove,bulbs,7
"{""action"":""remove"",""product"":""cereal"",""quantity"":18}",remove,cereal,18
"{""action"":""remove"",""product"":""wash"",""quantity"":5}",remove,wash,5
"{""action"":""remove"",""product"":""mushrooms"",""quantity"":7}",remove,mushrooms,7
"{""action"":""add"",""product"":""soda"",""quantity"":12}",add,soda,12
"{""action"":""remove"",""product"":""toothbrush"",""quantity"":1}",remove,toothbrush,1
"{""action"":""remove"",""product"":""quinoa"",""quantity"":17}",remove,quinoa,17
"{""action"":""remove"",""product"":""pizza"",""quantity"":2}",remove,pizza,2
"{""action"":""remove"",""product"":""cola"",""quantity"":2}",remove,cola,2
"{""action"":""remove"",""product"":""blueberries"",""quantity"":19}",remove,blueberries,19
"{""action"":""remove"",""product"":""wash"",""quantity"":10}",remove,wash,10
"{""action"":""add"",""product"":""lemons"",""quantity"":19}",add,lemons,19
"{""action"":""remove"",""product"":""toothpaste"",""quantity"":4}",remove,toothpaste,4
"{""action"":""remove"",""product"":""wash"",""quantity"":11}",remove,wash,11
"{""action"":""remove"",""product"":""spaghetti"",""quantity"":13}",remove,spaghetti,13
"{""action"":""add"",""product"":""cheddar"",""quantity"":19}",add,cheddar,19
"{""action"":""remove"",""product"":""coffee"",""quantity"":16}",remove,coffee,16
"{""action"":""remove"",""product"":""cheddar"",""quantity"":14}",remove,cheddar,14
"{""action"":""add"",""product"":""carrots"",""quantity"":9}",add,carrots,9
"{""action"":""remove"",""product"":""bulbs"",""quantity"":14}",remove,bulbs,14
"{""action"":""remove"",""product"":""toothpaste"",""quantity"":7}",remove,toothpaste,7
"{""action"":""add"",""product"":""treats"",""quantity"":10}",add,treats,10
"{""action"":""remove"",""product"":""granola"",""quantity"":2}",remove,granola,2
"{""action"":""remove"",""product"":""blueberries"",""quantity"":14}",remove,blueberries,14
"{""action"":""add"",""product"":""diapers"",""quantity"":4}",add,diapers,4
"{""action"":""add"",""product"":""sugar"",""quantity"":15}",add,sugar,15
"{""action"":""remove"",""product"":""gelato"",""quantity"":18}",remove,gelato,18
"{""action"":""remove"",""product"":""gelato"",""quantity"":18}",remove,gelato,18
"{""action"":""remove"",""product"":""chicken"",""quantity"":2}",remove,chicken,2
"{""action"":""remove"",""product"":""shampoo"",""quantity"":1}",remove,shampoo,1
"{""action"":""remove"",""product"":""milk"",""quantity"":11}",remove,milk,11
"{""action"":""add"",""product"":""mozzarella"",""quantity"":12}",add,mozzarella,12
"{""action"":""add"",""product"":""water"",""quantity"":10}",add,water,10
"{""action"":""remove"",""product"":""cola"",""quantity"":16}",remove,cola,16
"{""action"":""add"",""product"":""eggs"",""quantity"":14}",add,eggs,14
"{""action"":""remove"",""product"":""garlic"",""quantity"":15}",remove,garlic,15
"{""action"":""add"",""product"":""zucchini"",""quantity"":9}",add,zucchini,9
"{""action"":""remove"",""product"":""more bread"",""quantity"":4}",remove,more bread,4
"{""action"":""add"",""product"":""raspberries"",""quantity"":12}",add,raspberries,12
"{""action"":""add"",""product"":""sugar"",""quantity"":15}",add,sugar,15
"{""action"":""remove"",""product"":""kibble"",""quantity"":16}",remove,kibble,16
"{""action"":""add"",""product"":""bellpeppers"",""quantity"":13}",add,bellpeppers,13
"{""action"":""add"",""product"":""pepper"",""quantity"":16}",add,pepper,16
"{""action"":""add"",""product"":""wipes"",""quantity"":6}",add,wipes,6
"{""action"":""add"",""product"":""cheddar"",""quantity"":1}",add,cheddar,1
"{""action"":""remove"",""product"":""soda"",""quantity"":14}",remove,soda,14
"{""action"":""add"",""product"":""foil"",""quantity"":1}",add,foil,1
"{""action"":""add"",""product"":""14 toothpaste"",""quantity"":14}",add,14 toothpaste,14
"{""action"":""add"",""product"":""packs of oatmeal"",""quantity"":6}",add,packs of oatmeal,6
"{""action"":""add"",""product"":""sweetpotatoes"",""quantity"":3}",add,sweetpotatoes,3
"{""action"":""remove"",""product"":""tomatoes"",""quantity"":9}",remove,tomatoes,9
"{""action"":""remove"",""product"":""bellpeppers"",""quantity"":10}",remove,bellpeppers,10
"{""action"":""add"",""product"":""sunfloweroil"",""quantity"":3}",add,sunfloweroil,3
"{""action"":""add"",""product"":""sweetpotatoes"",""quantity"":11}",add,sweetpotatoes,11
"{""action"":""remove"",""product"":""apples"",""quantity"":17}",remove,apples,17
"{""action"":""add"",""product"":""yogurt"",""quantity"":15}",add,yogurt,15
"{""action"":""add"",""product"":""soda"",""quantity"":1}",add,soda,1
"{""action"":""add"",""product"":""oatmeal"",""quantity"":16}",add,oatmeal,16
"{""action"":""remove"",""product"":""soda"",""quantity"":18}",remove,soda,18
"{""action"":""remove"",""product"":""oatmeal"",""quantity"":1}",remove,oatmeal,1
"{""action"":""remove"",""product"":""spinach"",""quantity"":14}",remove,spinach,14
"{""action"":""remove"",""product"":""salmon"",""quantity"":9}",remove,salmon,9
"{""action"":""add"",""product"":""cheddar"",""quantity"":1}",add,cheddar,1
"{""action"":""remove"",""product"":""kibble"",""quantity"":15}",remove,kibble,15
"{""action"":""remove"",""product"":""avocados"",""quantity"":16}",remove,avocados,16
"{""action"":""add"",""product"":""batteries"",""quantity"":15}",add,batteries,15
"{""action"":""add"",""product"":""salt"",""quantity"":15}",add,salt,15
"{""action"":""add"",""product"":""toothbrush"",""quantity"":15}",add,toothbrush,15
"{""action"":""remove"",""product"":""potatoes"",""quantity"":19}",remove,potatoes,19
"{""action"":""remove"",""product"":""eggs"",""quantity"":9}",remove,eggs,9
"{""action"":""add"",""product"":""blueberries"",""quantity"":14}",add,blueberries,14
"{""action"":""add"",""product"":""raspberries"",""quantity"":5}",add,raspberries,5
"{""action"":""remove"",""product"":""toothpaste"",""quantity"":9}",remove,toothpaste,9
"{""action"":""add"",""product"":""pizza"",""quantity"":14}",add,pizza,14
"{""action"":""add"",""product"":""paper"",""quantity"":1}",add,paper,1
"{""action"":""add"",""product"":""flour"",""quantity"":9}",add,flour,9
"{""action"":""remove"",""product"":""toothpaste"",""quantity"":8}",remove,toothpaste,8
"{""action"":""add"",""product"":""bread"",""quantity"":8}",add,bread,8
"{""action"":""remove"",""product"":""blueberries"",""quantity"":14}",remove,blueberries,14
"{""action"":""add"",""product"":""yogurt"",""quantity"":2}",add,yogurt,2
"{""action"":""add"",""product"":""litter"",""quantity"":16}",add,litter,16
"{""action"":""add"",""product"":""apples"",""quantity"":14}",add,apples,14
"{""action"":""remove"",""product"":""potatoes"",""quantity"":16}",remove,potatoes,16
"{""action"":""add"",""product"":""soap"",""quantity"":16}",add,soap,16
"{""action"":""add"",""product"":""cheddar"",""quantity"":19}",add,cheddar,19
"{""action"":""remove"",""product"":""quinoa"",""quantity"":2}",remove,quinoa,2
"{""action"":""add"",""product"":""raspberries"",""quantity"":11}",add,raspberries,11
"{""action"":""remove"",""product"":""vegetables"",""quantity"":2}",remove,vegetables,2
"{""action"":""add"",""product"":""towels"",""quantity"":9}",add,towels,9
"{""action"":""remove"",""product"":""potatoes"",""quantity"":9}",remove,potatoes,9
"{""action"":""add"",""product"":""tea"",""quantity"":8}",add,tea,8
"{""action"":""remove"",""product"":""pepper"",""quantity"":4}",remove,pepper,4
"{""action"":""add"",""product"":""soda"",""quantity"":18}",add,soda,18
"{""action"":""remove"",""product"":""yogurt"",""quantity"":13}",remove,yogurt,13
"{""action"":""remove"",""product"":""bags"",""quantity"":2}",remove,bags,2
"{""action"":""add"",""product"":""cola"",""quantity"":6}",add,cola,6
"{""action"":""remove"",""product"":""soda"",""quantity"":13}",remove,soda,13
"{""action"":""add"",""product"":""gelato"",""quantity"":14}",add,gelato,14
"{""action"":""remove"",""product"":""cucumbers"",""quantity"":16}",remove,cucumbers,16
"{""action"":""add"",""product"":""bread"",""quantity"":7}",add,bread,7
"{""action"":""remove"",""product"":""juice"",""quantity"":14}",remove,juice,14
"{""action"":""remove"",""product"":""tomatoes"",""quantity"":5}",remove,tomatoes,5
"{""action"":""remove"",""product"":""sugar"",""quantity"":17}",remove,sugar,17
"{""action"":""remove"",""product"":""yogurt"",""quantity"":17}",remove,yogurt,17
"{""action"":""remove"",""product"":""bananas"",""quantity"":3}",remove,bananas,3
"{""action"":""add"",""product"":""wrap"",""quantity"":20}",add,wrap,20
"{""action"":""add"",""product"":""eggs"",""quantity"":15}",add,eggs,15
"{""action"":""remove"",""product"":""sweetpotatoes"",""quantity"":12}",remove,sweetpotatoes,12
"{""action"":""remove"",""product"":""kibble"",""quantity"":14}",remove,kibble,14
"{""action"":""remove"",""product"":""watermelon"",""quantity"":10}",remove,watermelon,10
"{""action"":""add"",""product"":""gelato"",""quantity"":4}",add,gelato,4
"{""action"":""add"",""product"":""cola"",""quantity"":1}",add,cola,1
"{""action"":""remove"",""product"":""pasta"",""quantity"":10}",remove,pasta,10
"{""action"":""add"",""product"":""toothpaste"",""quantity"":14}",add,toothpaste,14
"{""action"":""remove"",""product"":""watermelon"",""quantity"":19}",remove,watermelon,19
"{""action"":""remove"",""product"":""potatoes"",""quantity"":4}",remove,potatoes,4
"{""action"":""add"",""product"":""toothbrush"",""quantity"":13}",add,toothbrush,13
"{""action"":""remove"",""product"":""wash"",""quantity"":3}",remove,wash,3
"{""action"":""add"",""product"":""avocados"",""quantity"":16}",add,avocados,16
"{""action"":""remove"",""product"":""soda"",""quantity"":7}",remove,soda,7
"{""action"":""add"",""product"":""bulbs"",""quantity"":5}",add,bulbs,5
"{""action"":""add"",""product"":""water"",""quantity"":8}",add,water,8
"{""action"":""add"",""product"":""quinoa"",""quantity"":19}",add,quinoa,19
"{""action"":""remove"",""product"":""towels"",""quantity"":1}",remove,towels,1
"{""action"":""add"",""product"":""litter"",""quantity"":6}",add,litter,6
"{""action"":""remove"",""product"":""gelato"",""quantity"":14}",remove,gelato,14
"{""action"":""add"",""product"":""gelato"",""quantity"":9}",add,gelato,9
"{""action"":""remove"",""product"":""vegetables"",""quantity"":6}",remove,vegetables,6
"{""action"":""remove"",""product"":""juice"",""quantity"":2}",remove,juice,2
"{""action"":""remove"",""product"":""blueberries"",""quantity"":12}",remove,blueberries,12
"{""action"":""add"",""product"":""apples"",""quantity"":1}",add,apples,1
"{""action"":""remove"",""product"":""chicken"",""quantity"":3}",remove,chicken,3
"{""action"":""remove"",""product"":""wipes"",""quantity"":9}",remove,wipes,9
"{""action"":""add"",""product"":""pizza"",""quantity"":11}",add,pizza,11
"{""action"":""remove"",""product"":""pineapple"",""quantity"":20}",remove,pineapple,20
"{""action"":""remove"",""product"":""bulbs"",""quantity"":19}",remove,bulbs,19
"{""action"":""add"",""product"":""cola"",""quantity"":10}",add,cola,10
"{""action"":""remove"",""product"":""chicken"",""quantity"":8}",remove,chicken,8
"{""action"":""add"",""product"":""flour"",""quantity"":14}",add,flour,14
"{""action"":""add"",""product"":""fries"",""quantity"":9}",add,fries,9
"{""action"":""add"",""product"":""mushrooms"",""quantity"":19}",add,mushrooms,19
"{""action"":""remove"",""product"":""potatoes"",""quantity"":18}",remove,potatoes,18
"{""action"":""remove"",""product"":""avocados"",""quantity"":9}",remove,avocados,9
"{""action"":""remove"",""product"":""pineapple"",""quantity"":2}",remove,pineapple,2
"{""action"":""remove"",""product"":""juice"",""quantity"":4}",remove,juice,4
"{""action"":""remove"",""product"":""milk"",""quantity"":20}",remove,milk,20
"{""action"":""add"",""product"":""batteries"",""quantity"":4}",add,batteries,4
"{""action"":""remove"",""product"":""salt"",""quantity"":10}",remove,salt,10
"{""action"":""remove"",""product"":""diapers"",""quantity"":18}",remove,diapers,18
"{""action"":""remove"",""product"":""18 juice"",""quantity"":18}",remove,18 juice,18
"{""action"":""add"",""product"":""wrap"",""quantity"":16}",add,wrap,16
"{""action"":""add"",""product"":""diapers"",""quantity"":14}",add,diapers,14
"{""action"":""add"",""product"":""oliveoil"",""quantity"":15}",add,oliveoil,15
"{""action"":""add"",""product"":""coffee"",""quantity"":20}",add,coffee,20
"{""action"":""remove"",""product"":""rice"",""quantity"":3}",remove,rice,3
"{""action"":""add"",""product"":""pasta"",""quantity"":8}",add,pasta,8
"{""action"":""add"",""product"":""sweetpotatoes"",""quantity"":14}",add,sweetpotatoes,14
"{""action"":""add"",""product"":""treats"",""quantity"":16}",add,treats,16
"{""action"":""remove"",""product"":""gelato"",""quantity"":7}",remove,gelato,7
"{""action"":""remove"",""product"":""batteries"",""quantity"":3}",remove,batteries,3
"{""action"":""add"",""product"":""butter"",""quantity"":11}",add,butter,11
"{""action"":""add"",""product"":""gelato"",""quantity"":20}",add,gelato,20
"{""action"":""remove"",""product"":""lemons"",""quantity"":20}",remove,lemons,20
"{""action"":""add"",""product"":""soap"",""quantity"":8}",add,soap,8
"{""action"":""remove"",""product"":""salmon"",""quantity"":5}",remove,salmon,5
"{""action"":""remove"",""product"":""soap"",""quantity"":12}",remove,soap,12
"{""action"":""add"",""product"":""bread"",""quantity"":15}",add,bread,15
"{""action"":""remove"",""product"":""flour"",""quantity"":3}",remove,flour,3
"{""action"":""remove"",""product"":""mushrooms"",""quantity"":8}",remove,mushrooms,8
"{""action"":""remove"",""product"":""packs of oranges"",""quantity"":4}",remove,packs of oranges,4
"{""action"":""add"",""product"":""raspberries"",""quantity"":19}",add,raspberries,19
"{""action"":""add"",""product"":""treats"",""quantity"":12}",add,treats,12
"{""action"":""add"",""product"":""limes"",""quantity"":13}",add,limes,13
"{""action"":""add"",""product"":""eggs"",""quantity"":20}",add,eggs,20
"{""action"":""add"",""product"":""packs of salt"",""quantity"":17}",add,packs of salt,17
"{""action"":""remove"",""product"":""tomatoes"",""quantity"":19}",remove,tomatoes,19
"{""action"":""remove"",""product"":""foil"",""quantity"":15}",remove,foil,15
"{""action"":""remove"",""product"":""packs of cheddar"",""quantity"":14}",remove,packs of cheddar,14
"{""action"":""remove"",""product"":""sunfloweroil"",""quantity"":8}",remove,sunfloweroil,8
"{""action"":""add"",""product"":""apples"",""quantity"":2}",add,apples,2
"{""action"":""remove"",""product"":""tuna"",""quantity"":6}",remove,tuna,6
"{""action"":""add"",""product"":""toothbrush"",""quantity"":19}",add,toothbrush,19
"{""action"":""add"",""product"":""diapers"",""quantity"":2}",add,diapers,2
"{""action"":""add"",""product"":""bread"",""quantity"":5}",add,bread,5
"{""action"":""remove"",""product"":""juice"",""quantity"":4}",remove,juice,4
"{""action"":""remove"",""product"":""detergent"",""quantity"":16}",remove,detergent,16
"{""action"":""add"",""product"":""oranges"",""quantity"":4}",add,oranges,4
"{""action"":""remove"",""product"":""broccoli"",""quantity"":11}",remove,broccoli,11
"{""action"":""remove"",""product"":""bags"",""quantity"":12}",remove,bags,12
"{""action"":""add"",""product"":""eggplant"",""quantity"":19}",add,eggplant,19
"{""action"":""remove"",""product"":""limes"",""quantity"":9}",remove,limes,9
"{""action"":""remove"",""product"":""chicken"",""quantity"":19}",remove,chicken,19
"{""action"":""remove"",""product"":""pineapple"",""quantity"":7}",remove,pineapple,7
"{""action"":""add"",""product"":""water"",""quantity"":17}",add,water,17
"{""action"":""remove"",""product"":""oatmeal"",""quantity"":1}",remove,oatmeal,1
"{""action"":""remove"",""product"":""zucchini"",""quantity"":3}",remove,zucchini,3
"{""action"":""remove"",""product"":""more water"",""quantity"":6}",remove,more water,6
"{""action"":""remove"",""product"":""bananas"",""quantity"":18}",remove,bananas,18
"{""action"":""add"",""product"":""eggplant"",""quantity"":9}",add,eggplant,9
"{""action"":""add"",""product"":""mango"",""quantity"":20}",add,mango,20
"{""action"":""remove"",""product"":""salt"",""quantity"":10}",remove,salt,10
"{""action"":""remove"",""product"":""tomatoes"",""quantity"":7}",remove,tomatoes,7
"{""action"":""add"",""product"":""raspberries"",""quantity"":10}",add,raspberries,10
"{""action"":""remove"",""product"":""lemonade"",""quantity"":10}",remove,lemonade,10
"{""action"":""add"",""product"":""wrap"",""quantity"":7}",add,wrap,7
"{""action"":""add"",""product"":""cereal"",""quantity"":4}",add,cereal,4
"{""action"":""add"",""product"":""yogurt"",""quantity"":12}",add,yogurt,12
"{""action"":""remove"",""product"":""wrap"",""quantity"":15}",remove,wrap,15
"{""action"":""remove"",""product"":""milk"",""quantity"":7}",remove,milk,7
